"id","code","type","parent_id/id","name"
"l10n_hr_joppd_nontaxable_receipt_36","36","normal","l10n_hr_joppd_nontaxable_receipt","Primici na koje je sukladno ugovoru o izbjegavanju dvostrukog oporezivanja predujam poreza na dohodak plaćen u inozemstvu, a za koje se sukladno članku 2. stavku 4. Pravilnika o porezu na dohodak ne plaćaju predujmovi poreza na dohodak u tuzemstvu, te je porezni obveznik obvezan podnijeti godišnju poreznu prijavu"
"l10n_hr_joppd_nontaxable_receipt_37","37","normal","l10n_hr_joppd_nontaxable_receipt","Primici koji bi bili oporezivi porezom na dohodak da ugovorima o izbjegavanju dvostrukog oporezivanja nije uređeno drukčije, u slučaju kada Republika Hrvatska sukladno ugovoru izuzima te primitke od oporezivanja"
"l10n_hr_joppd_nontaxable_receipt_38","38","normal","l10n_hr_joppd_nontaxable_receipt","Primici fizičkih osoba po osnovi izravnih plaćanja u poljoprivredi sukladno posebnim propisima po osnovi kojih se ne utvrđuje dohodak sukladno članku 18. stavku 3. Zakona"
"l10n_hr_joppd_nontaxable_receipt_39","39","normal","l10n_hr_joppd_nontaxable_receipt","Troškovi prijevoza (trošak cestarine i prijevoznih karata) i troškovi noćenja na službenom putovanju u visini stvarnih izdataka, prema konačnom obračunu putnih naloga"
"l10n_hr_joppd_nontaxable_receipt_40","40","normal","l10n_hr_joppd_nontaxable_receipt","Povrat isplaćene naknade plaće za vrijeme spriječenosti za rad isplaćena na teret sredstava obveznih osiguranja kojega vrši nositelj osiguranja isplatitelju naknade"
"l10n_hr_joppd_nontaxable_receipt_41","41","normal","l10n_hr_joppd_nontaxable_receipt","Ostali neoporezivi primici iz članka 10. točke 3. Zakona o porezu na dohodak a vezano uz članak 7. Pravilnika o porezu na dohodak, osim novčane naknade za spriječenost za rad isplaćenu na teret sredstava obveznih osiguranja"
"l10n_hr_joppd_nontaxable_receipt_42","42","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dividendi i udjela u dobiti koji ne podliježu oporezivanju"
"l10n_hr_joppd_nontaxable_receipt_43","43","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi drugog dohotka na koje je sukladno ugovoru o izbjegavanju dvostrukog oporezivanja predujam poreza na dohodak plaćen u inozemstvu, a za koje se sukladno članku 2. stavku 4. Pravilnika o porezu na dohodak ne plaćaju predujmovi poreza na dohodak u tuzemstvu, te je porezni obveznik obvezan podnijeti godišnju poreznu prijavu"
"l10n_hr_joppd_nontaxable_receipt_44","44","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi drugog dohotka koji bi bili oporezivi porezom na dohodak da ugovorima o izbjegavanju dvostrukog oporezivanja nije uređeno drukčije, u slučaju kada Republika Hrvatska sukladno ugovoru izuzima te primitke od oporezivanja"
"l10n_hr_joppd_nontaxable_receipt_45","45","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi drugog dohotka koji se isplaćuju nerezidentima Republike Hrvatske - članovima uprave odnosno članovima drugih odgovarajućim upravljačkih tijela društva te izvršnim direktorima a koji bi bili oporezivi porezom na dohodak da ugovorima o izbjegavanju dvostrukog oporezivanja nije uređeno drukčije, u slučaju kada Republika Hrvatska sukladno ugovoru izuzima te primitke od oporezivanja"
"l10n_hr_joppd_nontaxable_receipt_46","46","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dohotka od kapitala koji bi bili oporezivi porezom na dohodak da ugovorima o izbjegavanju dvostrukog oporezivanja nije uređeno drukčije, u slučaju kada Republika Hrvatska sukladno ugovoru izuzima te primitke od oporezivanja"
"l10n_hr_joppd_nontaxable_receipt_47","47","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dohotka od kapitala na koje je sukladno ugovoru o izbjegavanju dvostrukog oporezivanja predujam poreza na dohodak plaćen u inozemstvu, a za koje se sukladno članku 2. stavku 4. Pravilnika o porezu na dohodak ne plaćaju predujmovi poreza na dohodak u tuzemstvu, te je porezni obveznik obvezan podnijeti godišnju poreznu prijavu"
"l10n_hr_joppd_nontaxable_receipt_48","48","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dohotka od osiguranja na koje je sukladno ugovoru o izbjegavanju dvostrukog oporezivanja predujam poreza na dohodak plaćen u inozemstvu, a za koje se sukladno članku 2. stavku 4. Pravilnika o porezu na dohodak ne plaćaju predujmovi poreza na dohodak u tuzemstvu, te je porezni obveznik obvezan podnijeti godišnju poreznu prijavu"
"l10n_hr_joppd_nontaxable_receipt_49","49","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dohotka od osiguranja koji bi bili oporezivi porezom na dohodak da ugovorima o izbjegavanju dvostrukog oporezivanja nije uređeno drukčije, u slučaju kada Republika Hrvatska sukladno ugovoru izuzima te primitke od oporezivanja"
"l10n_hr_joppd_nontaxable_receipt_50","50","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dohotka od imovinskih prava na koje je sukladno ugovoru o izbjegavanju dvostrukog oporezivanja predujam poreza na dohodak plaćen u inozemstvu, a za koje se sukladno članku 2. stavku 4. Pravilnika o porezu na dohodak ne plaćaju predujmovi poreza na dohodak u tuzemstvu, te je porezni obveznik obvezan podnijeti godišnju poreznu prijavu"
"l10n_hr_joppd_nontaxable_receipt_51","51","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dohotka od imovinskih prava koji bi bili oporezivi porezom na dohodak da ugovorima o izbjegavanju dvostrukog oporezivanja nije uređeno drukčije, u slučaju kada Republika Hrvatska sukladno ugovoru izuzima te primitke od oporezivanja"
"l10n_hr_joppd_nontaxable_receipt_52","52","normal","l10n_hr_joppd_nontaxable_receipt","Dnevnice isplaćene po osnovi službenih putovanja fizičkim osobama koje u neprofitnim organizacijama ne ostvaruju primitke po osnovi nesamostalnog rada iz članka 14. Zakona o porezu na dohodak odnosno primitke od kojih se utvrđuje drugi dohodak iz članka 32. Zakona o porezu na dohodak (čl. 10. t. 11. Zakona o porezu na dohodak i čl. 7. st. 5. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_53","53","normal","l10n_hr_joppd_nontaxable_receipt","Troškovi prijevoza (trošak cestarine i prijevoznih karata) i troškovi noćenja na službenom putovanju u visini stvarnih izdataka prema konačnom obračunu putnih naloga koje isplaćuju/podmiruju neprofitne organizacije osobama koje u tim organizacijama ne ostvaruju primitke po osnovi nesamostalnog rada iz članka 14. Zakona o porezu na dohodak odnosno primitke od kojih se utvrđuje drugi dohodak iz članka 32. Zakona o porezu na dohodak"
"l10n_hr_joppd_nontaxable_receipt_54","54","normal","l10n_hr_joppd_nontaxable_receipt","Novčana pomoć polaznicima stručnog osposobljavanja za rad bez zasnivanja radnog odnosa (čl. 10. t. 19. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_55","55","normal","l10n_hr_joppd_nontaxable_receipt","Primici u visini razlike između primljenih bespovratnih sredstava isplaćenih iz fondova Europske unije i državnog proračuna Republike Hrvatske za provedbu mjere trajne obustave ribolovne aktivnosti uz uništenje plovila i knjigovodstvene vrijednosti tog plovila (čl, 10. t. 21. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_56","56","normal","l10n_hr_joppd_nontaxable_receipt","Sportske stipendije, do propisanog iznosa (čl. 10. t. 14. Zakona o porezu na dohodak)"
