id,code,type,parent_id/id,name,regos_code,joppd_code,local_tax_pct,iban
l10n_hr_joppd_city_municipality_00477,00477,normal,l10n_hr_joppd_city_municipality,CEROVLJE,477,477,2,HR2110010051704712003
l10n_hr_joppd_city_municipality_00485,00485,normal,l10n_hr_joppd_city_municipality,CESTICA,485,485,10,HR4310010051704812002
l10n_hr_joppd_city_municipality_00493,00493,normal,l10n_hr_joppd_city_municipality,CETINGRAD,493,493,0,HR2710010051704912006
l10n_hr_joppd_city_municipality_00507,00507,normal,l10n_hr_joppd_city_municipality,CISTA PROVO,507,507,3,HR6010010051705012001
l10n_hr_joppd_city_municipality_00515,00515,normal,l10n_hr_joppd_city_municipality,CIVLJANE,515,515,5,HR8710010051705112007
l10n_hr_joppd_city_municipality_00523,00523,normal,l10n_hr_joppd_city_municipality,CRES,523,523,0,HR5510010051705212008
l10n_hr_joppd_city_municipality_00531,00531,normal,l10n_hr_joppd_city_municipality,CRIKVENICA,531,531,7,HR2310010051705312009
l10n_hr_joppd_city_municipality_00540,00540,normal,l10n_hr_joppd_city_municipality,CRNAC,540,540,0,HR6710010051705412000
l10n_hr_joppd_city_municipality_00558,00558,normal,l10n_hr_joppd_city_municipality,ČABAR,558,558,5,HR7810010051705512003
l10n_hr_joppd_city_municipality_00566,00566,normal,l10n_hr_joppd_city_municipality,ČAČINCI,566,566,0,HR0310010051705612002
l10n_hr_joppd_city_municipality_00574,00574,normal,l10n_hr_joppd_city_municipality,ČAĐAVICA,574,574,0,HR8410010051705712006
l10n_hr_joppd_city_municipality_00582,00582,normal,l10n_hr_joppd_city_municipality,ČAGLIN,582,582,5,HR3610010051705812004
l10n_hr_joppd_city_municipality_00604,00604,normal,l10n_hr_joppd_city_municipality,ČAKOVEC,604,604,0,HR1510010051706012008
l10n_hr_joppd_city_municipality_00612,00612,normal,l10n_hr_joppd_city_municipality,ČAVLE,612,612,0,HR8010010051706112009
l10n_hr_joppd_city_municipality_00639,00639,normal,l10n_hr_joppd_city_municipality,ČAZMA,639,639,5,HR3810010051706312003
l10n_hr_joppd_city_municipality_00647,00647,normal,l10n_hr_joppd_city_municipality,ČEMINAC,647,647,10,HR6010010051706412002
l10n_hr_joppd_city_municipality_00655,00655,normal,l10n_hr_joppd_city_municipality,ČEPIN,655,655,0,HR4410010051706512006
l10n_hr_joppd_city_municipality_00663,00663,normal,l10n_hr_joppd_city_municipality,DARDA,663,663,5,HR9310010051706612004
l10n_hr_joppd_city_municipality_00671,00671,normal,l10n_hr_joppd_city_municipality,DARUVAR,671,671,10,HR6110010051706712005
l10n_hr_joppd_city_municipality_00680,00680,normal,l10n_hr_joppd_city_municipality,DAVOR,680,680,10,HR6710010051706812001
l10n_hr_joppd_city_municipality_00698,00698,normal,l10n_hr_joppd_city_municipality,DELNICE,698,698,5,HR9410010051706912007
l10n_hr_joppd_city_municipality_00701,00701,normal,l10n_hr_joppd_city_municipality,DESINIĆ,701,701,0,HR8410010051707012000
l10n_hr_joppd_city_municipality_00710,00710,normal,l10n_hr_joppd_city_municipality,DEŽANOVAC,710,710,5,HR9510010051707112003
l10n_hr_joppd_city_municipality_00728,00728,normal,l10n_hr_joppd_city_municipality,DICMO,728,728,8,HR2010010051707212002
l10n_hr_joppd_city_municipality_00744,00744,normal,l10n_hr_joppd_city_municipality,DOBRINJ,744,744,0,HR5310010051707412004
l10n_hr_joppd_city_municipality_00752,00752,normal,l10n_hr_joppd_city_municipality,DOMAŠINEC,752,752,0,HR2110010051707512005
l10n_hr_joppd_city_municipality_00779,00779,normal,l10n_hr_joppd_city_municipality,BRELA,779,779,5,HR5410010051707712007
l10n_hr_joppd_city_municipality_00787,00787,normal,l10n_hr_joppd_city_municipality,DONJA DUBRAVA,787,787,0,HR2210010051707812008
l10n_hr_joppd_city_municipality_00795,00795,normal,l10n_hr_joppd_city_municipality,DONJA STUBICA,795,795,10,HR8710010051707912009
l10n_hr_joppd_city_municipality_00809,00809,normal,l10n_hr_joppd_city_municipality,DONJA VOĆA,809,809,10,HR6610010051708012006
l10n_hr_joppd_city_municipality_00817,00817,normal,l10n_hr_joppd_city_municipality,DONJI ANDRIJEVCI,817,817,8,HR1810010051708112004
l10n_hr_joppd_city_municipality_00825,00825,normal,l10n_hr_joppd_city_municipality,DONJI KRALJEVEC,825,825,0,HR8310010051708212005
l10n_hr_joppd_city_municipality_00833,00833,normal,l10n_hr_joppd_city_municipality,DONJI KUKURUZARI,833,833,6,HR8910010051708312001
l10n_hr_joppd_city_municipality_00841,00841,normal,l10n_hr_joppd_city_municipality,DONJI LAPAC,841,841,5,HR1910010051708412007
l10n_hr_joppd_city_municipality_00850,00850,normal,l10n_hr_joppd_city_municipality,DONJI MARTIJANEC,850,850,5,
l10n_hr_joppd_city_municipality_00868,00868,normal,l10n_hr_joppd_city_municipality,DONJI MIHOLJAC,868,868,5,HR5210010051708612009
l10n_hr_joppd_city_municipality_00876,00876,normal,l10n_hr_joppd_city_municipality,MUĆ,876,876,7,HR9610010051708712000
l10n_hr_joppd_city_municipality_00884,00884,normal,l10n_hr_joppd_city_municipality,PROLOŽAC,884,884,5,HR1010010051708812003
l10n_hr_joppd_city_municipality_00892,00892,normal,l10n_hr_joppd_city_municipality,DONJI VIDOVEC,892,892,0,HR3210010051708912002
l10n_hr_joppd_city_municipality_00906,00906,normal,l10n_hr_joppd_city_municipality,DRAGANIĆ,906,906,0,HR4310010051709012005
l10n_hr_joppd_city_municipality_00914,00914,normal,l10n_hr_joppd_city_municipality,DRAŽ,914,914,2,HR4910010051709112001
l10n_hr_joppd_city_municipality_00922,00922,normal,l10n_hr_joppd_city_municipality,DRENOVCI,922,922,5,HR7610010051709212007
l10n_hr_joppd_city_municipality_00949,00949,normal,l10n_hr_joppd_city_municipality,DRENJE,949,949,0,HR1210010051709412009
l10n_hr_joppd_city_municipality_00957,00957,normal,l10n_hr_joppd_city_municipality,DRNIŠ,957,957,5,HR5610010051709512000
l10n_hr_joppd_city_municipality_00965,00965,normal,l10n_hr_joppd_city_municipality,DRNJE,965,965,0,HR6710010051709612003
l10n_hr_joppd_city_municipality_00973,00973,normal,l10n_hr_joppd_city_municipality,DUBRAVA,973,973,6,HR8910010051709712002
l10n_hr_joppd_city_municipality_00981,00981,normal,l10n_hr_joppd_city_municipality,DUBROVNIK,981,981,10,HR7310010051709812006
l10n_hr_joppd_city_municipality_00990,00990,normal,l10n_hr_joppd_city_municipality,DUGA RESA,990,990,10,HR2510010051709912004
l10n_hr_joppd_city_municipality_01007,01007,normal,l10n_hr_joppd_city_municipality,DUGI RAT,1007,1007,0,HR4710010051710012003
l10n_hr_joppd_city_municipality_01015,01015,normal,l10n_hr_joppd_city_municipality,DUGO SELO,1015,1015,9,HR6910010051710112002
l10n_hr_joppd_city_municipality_01023,01023,normal,l10n_hr_joppd_city_municipality,DVOR,1023,1023,5,HR5310010051710212006
l10n_hr_joppd_city_municipality_01031,01031,normal,l10n_hr_joppd_city_municipality,ĐAKOVO,1031,1031,10,HR0510010051710312004
l10n_hr_joppd_city_municipality_01040,01040,normal,l10n_hr_joppd_city_municipality,ĐELEKOVEC,1040,1040,0,HR7010010051710412005
l10n_hr_joppd_city_municipality_01058,01058,normal,l10n_hr_joppd_city_municipality,ĐULOVAC,1058,1058,0,HR7610010051710512001
l10n_hr_joppd_city_municipality_01066,01066,normal,l10n_hr_joppd_city_municipality,ĐURĐENOVAC,1066,1066,10,HR0610010051710612007
l10n_hr_joppd_city_municipality_01074,01074,normal,l10n_hr_joppd_city_municipality,ĐURĐEVAC,1074,1074,0,HR7110010051710712008
l10n_hr_joppd_city_municipality_01082,01082,normal,l10n_hr_joppd_city_municipality,ĐURMANEC,1082,1082,10,HR3910010051710812009
l10n_hr_joppd_city_municipality_01104,01104,normal,l10n_hr_joppd_city_municipality,ERDUT,1104,1104,1,HR2410010051711012002
l10n_hr_joppd_city_municipality_01112,01112,normal,l10n_hr_joppd_city_municipality,ERNESTINOVO,1112,1112,0,HR0810010051711112006
l10n_hr_joppd_city_municipality_01139,01139,normal,l10n_hr_joppd_city_municipality,ERVENIK,1139,1139,3,HR2510010051711312005
l10n_hr_joppd_city_municipality_01147,01147,normal,l10n_hr_joppd_city_municipality,FARKAŠEVAC,1147,1147,3,HR3110010051711412001
l10n_hr_joppd_city_municipality_01155,01155,normal,l10n_hr_joppd_city_municipality,FERDINANDOVAC,1155,1155,0,HR5810010051711512007
l10n_hr_joppd_city_municipality_01163,01163,normal,l10n_hr_joppd_city_municipality,FERIČANCI,1163,1163,0,HR2610010051711612008
l10n_hr_joppd_city_municipality_01171,01171,normal,l10n_hr_joppd_city_municipality,FUŽINE,1171,1171,5,HR9110010051711712009
l10n_hr_joppd_city_municipality_01180,01180,normal,l10n_hr_joppd_city_municipality,GARČIN,1180,1180,10,HR3810010051711812000
l10n_hr_joppd_city_municipality_01198,01198,normal,l10n_hr_joppd_city_municipality,GAREŠNICA,1198,1198,10,HR4910010051711912003
l10n_hr_joppd_city_municipality_01201,01201,normal,l10n_hr_joppd_city_municipality,GENERALSKI STOL,1201,1201,0,HR1710010051712012004
l10n_hr_joppd_city_municipality_01210,01210,normal,l10n_hr_joppd_city_municipality,GLINA,1210,1210,0,HR8210010051712112005
l10n_hr_joppd_city_municipality_01228,01228,normal,l10n_hr_joppd_city_municipality,GOLA,1228,1228,0,HR8810010051712212001
l10n_hr_joppd_city_municipality_01236,01236,normal,l10n_hr_joppd_city_municipality,GORIČAN,1236,1236,0,HR1810010051712312007
l10n_hr_joppd_city_municipality_01244,01244,normal,l10n_hr_joppd_city_municipality,GORJANI,1244,1244,0,HR8310010051712412008
l10n_hr_joppd_city_municipality_01252,01252,normal,l10n_hr_joppd_city_municipality,GORNJA STUBICA,1252,1252,0,HR5110010051712512009
l10n_hr_joppd_city_municipality_01279,01279,normal,l10n_hr_joppd_city_municipality,GORNJI BOGIĆEVCI,1279,1279,5,HR0910010051712712003
l10n_hr_joppd_city_municipality_01295,01295,normal,l10n_hr_joppd_city_municipality,GORNJI KNEGINEC,1295,1295,10,HR1510010051712912006
l10n_hr_joppd_city_municipality_01309,01309,normal,l10n_hr_joppd_city_municipality,GOSPIĆ,1309,1309,10,HR4810010051713012001
l10n_hr_joppd_city_municipality_01317,01317,normal,l10n_hr_joppd_city_municipality,GRAČAC,1317,1317,7,HR7510010051713112007
l10n_hr_joppd_city_municipality_01325,01325,normal,l10n_hr_joppd_city_municipality,GRAČIŠĆE,1325,1325,5,HR4310010051713212008
l10n_hr_joppd_city_municipality_01333,01333,normal,l10n_hr_joppd_city_municipality,ZAGREB,1333,1333,18,HR1110010051713312009
l10n_hr_joppd_city_municipality_01341,01341,normal,l10n_hr_joppd_city_municipality,GRADAC,1341,1341,0,HR5510010051713412000
l10n_hr_joppd_city_municipality_01350,01350,normal,l10n_hr_joppd_city_municipality,GRADEC,1350,1350,5,HR6610010051713512003
l10n_hr_joppd_city_municipality_01368,01368,normal,l10n_hr_joppd_city_municipality,GRADINA,1368,1368,0,HR8810010051713612002
l10n_hr_joppd_city_municipality_01376,01376,normal,l10n_hr_joppd_city_municipality,GRADIŠTE,1376,1376,0,HR7210010051713712006
l10n_hr_joppd_city_municipality_01384,01384,normal,l10n_hr_joppd_city_municipality,GROŽNJAN (GRISIGNANA),1384,1384,0,HR2410010051713812004
l10n_hr_joppd_city_municipality_01392,01392,normal,l10n_hr_joppd_city_municipality,GRUBIŠNO POLJE,1392,1392,5,HR8910010051713912005
l10n_hr_joppd_city_municipality_01406,01406,normal,l10n_hr_joppd_city_municipality,GUNDINCI,1406,1406,0,HR0310010051714012008
l10n_hr_joppd_city_municipality_01414,01414,normal,l10n_hr_joppd_city_municipality,GUNJA,1414,1414,0,HR6810010051714112009
l10n_hr_joppd_city_municipality_01449,01449,normal,l10n_hr_joppd_city_municipality,HERCEGOVAC,1449,1449,0,HR4810010051714412002
l10n_hr_joppd_city_municipality_01457,01457,normal,l10n_hr_joppd_city_municipality,HLEBINE,1457,1457,0,HR3210010051714512006
l10n_hr_joppd_city_municipality_01465,01465,normal,l10n_hr_joppd_city_municipality,HRAŠĆINA,1465,1465,5,HR8110010051714612004
l10n_hr_joppd_city_municipality_01481,01481,normal,l10n_hr_joppd_city_municipality,HRVACE,1481,1481,10,HR5510010051714812001
l10n_hr_joppd_city_municipality_01490,01490,normal,l10n_hr_joppd_city_municipality,HRVATSKA DUBICA,1490,1490,3,HR8210010051714912007
l10n_hr_joppd_city_municipality_01503,01503,normal,l10n_hr_joppd_city_municipality,HRVATSKA KOSTAJNICA,1503,1503,6,HR7210010051715012000
l10n_hr_joppd_city_municipality_01511,01511,normal,l10n_hr_joppd_city_municipality,BREZNIČKI HUM,1511,1511,3,HR8310010051715112003
l10n_hr_joppd_city_municipality_01520,01520,normal,l10n_hr_joppd_city_municipality,HUM NA SUTLI,1520,1520,0,HR0810010051715212002
l10n_hr_joppd_city_municipality_01538,01538,normal,l10n_hr_joppd_city_municipality,HVAR,1538,1538,0,HR8910010051715312006
l10n_hr_joppd_city_municipality_01546,01546,normal,l10n_hr_joppd_city_municipality,ILOK,1546,1546,0,HR4110010051715412004
l10n_hr_joppd_city_municipality_01554,01554,normal,l10n_hr_joppd_city_municipality,IMOTSKI,1554,1554,6,HR0910010051715512005
l10n_hr_joppd_city_municipality_01562,01562,normal,l10n_hr_joppd_city_municipality,IVANEC,1562,1562,10,HR1510010051715612001
l10n_hr_joppd_city_municipality_01589,01589,normal,l10n_hr_joppd_city_municipality,IVANIĆ-GRAD,1589,1589,6,HR1010010051715812008
l10n_hr_joppd_city_municipality_01597,01597,normal,l10n_hr_joppd_city_municipality,IVANKOVO,1597,1597,10,HR7510010051715912009
l10n_hr_joppd_city_municipality_01619,01619,normal,l10n_hr_joppd_city_municipality,IVANSKA,1619,1619,0,HR0610010051716112004
l10n_hr_joppd_city_municipality_01635,01635,normal,l10n_hr_joppd_city_municipality,JAKOVLJE,1635,1635,5,HR7710010051716312001
l10n_hr_joppd_city_municipality_01643,01643,normal,l10n_hr_joppd_city_municipality,JAKŠIĆ,1643,1643,5,HR0710010051716412007
l10n_hr_joppd_city_municipality_01651,01651,normal,l10n_hr_joppd_city_municipality,JALŽABET,1651,1651,0,HR7210010051716512008
l10n_hr_joppd_city_municipality_01660,01660,normal,l10n_hr_joppd_city_municipality,JARMINA,1660,1660,0,HR4010010051716612009
l10n_hr_joppd_city_municipality_01678,01678,normal,l10n_hr_joppd_city_municipality,JASENICE,1678,1678,0,HR8410010051716712000
l10n_hr_joppd_city_municipality_01686,01686,normal,l10n_hr_joppd_city_municipality,JASENOVAC,1686,1686,0,HR9510010051716812003
l10n_hr_joppd_city_municipality_01694,01694,normal,l10n_hr_joppd_city_municipality,JASTREBARSKO,1694,1694,9,HR2010010051716912002
l10n_hr_joppd_city_municipality_01708,01708,normal,l10n_hr_joppd_city_municipality,JELENJE,1708,1708,0,HR3110010051717012005
l10n_hr_joppd_city_municipality_01716,01716,normal,l10n_hr_joppd_city_municipality,JELSA,1716,1716,10,HR3710010051717112001
l10n_hr_joppd_city_municipality_01724,01724,normal,l10n_hr_joppd_city_municipality,JOSIPDOL,1724,1724,0,HR6410010051717212007
l10n_hr_joppd_city_municipality_01732,01732,normal,l10n_hr_joppd_city_municipality,KALI,1732,1732,0,HR3210010051717312008
l10n_hr_joppd_city_municipality_01759,01759,normal,l10n_hr_joppd_city_municipality,KANFANAR,1759,1759,3,HR4410010051717512000
l10n_hr_joppd_city_municipality_01767,01767,normal,l10n_hr_joppd_city_municipality,KAPELA,1767,1767,8,HR5510010051717612003
l10n_hr_joppd_city_municipality_01775,01775,normal,l10n_hr_joppd_city_municipality,KAPTOL,1775,1775,10,HR7710010051717712002
l10n_hr_joppd_city_municipality_01783,01783,normal,l10n_hr_joppd_city_municipality,KARLOBAG,1783,1783,,HR6110010051717812006
l10n_hr_joppd_city_municipality_01791,01791,normal,l10n_hr_joppd_city_municipality,KARLOVAC,1791,1791,9,HR1310010051717912004
l10n_hr_joppd_city_municipality_01805,01805,normal,l10n_hr_joppd_city_municipality,KASTAV,1805,1805,0,HR2410010051718012007
l10n_hr_joppd_city_municipality_01813,01813,normal,l10n_hr_joppd_city_municipality,KAŠTELA,1813,1813,12,HR8910010051718112008
l10n_hr_joppd_city_municipality_01830,01830,normal,l10n_hr_joppd_city_municipality,KIJEVO,1830,1830,5,HR0410010051718312000
l10n_hr_joppd_city_municipality_01848,01848,normal,l10n_hr_joppd_city_municipality,KISTANJE,1848,1848,3,HR1510010051718412003
l10n_hr_joppd_city_municipality_01856,01856,normal,l10n_hr_joppd_city_municipality,KLAKAR,1856,1856,0,HR3710010051718512002
l10n_hr_joppd_city_municipality_01864,01864,normal,l10n_hr_joppd_city_municipality,KLANA,1864,1864,0,HR2110010051718612006
l10n_hr_joppd_city_municipality_01872,01872,normal,l10n_hr_joppd_city_municipality,KLANJEC,1872,1872,12,HR7010010051718712004
l10n_hr_joppd_city_municipality_01899,01899,normal,l10n_hr_joppd_city_municipality,KLENOVNIK,1899,1899,7,HR4410010051718912001
l10n_hr_joppd_city_municipality_01902,01902,normal,l10n_hr_joppd_city_municipality,KLINČA SELA,1902,1902,10,HR1710010051719012009
l10n_hr_joppd_city_municipality_01929,01929,normal,l10n_hr_joppd_city_municipality,KLIS,1929,1929,0,HR7210010051719212003
l10n_hr_joppd_city_municipality_01937,01937,normal,l10n_hr_joppd_city_municipality,KLOŠTAR IVANIĆ,1937,1937,2,HR9410010051719312002
l10n_hr_joppd_city_municipality_01945,01945,normal,l10n_hr_joppd_city_municipality,KLOŠTAR PODRAVSKI,1945,1945,0,HR7810010051719412006
l10n_hr_joppd_city_municipality_01953,01953,normal,l10n_hr_joppd_city_municipality,KNEŽEVI VINOGRADI,1953,1953,4,HR3010010051719512004
l10n_hr_joppd_city_municipality_01961,01961,normal,l10n_hr_joppd_city_municipality,KNIN,1961,1961,10,HR9510010051719612005
l10n_hr_joppd_city_municipality_01970,01970,normal,l10n_hr_joppd_city_municipality,KOMIŽA,1970,1970,5,HR0410010051719712001
l10n_hr_joppd_city_municipality_01988,01988,normal,l10n_hr_joppd_city_municipality,KONAVLE,1988,1988,10,HR3110010051719812007
l10n_hr_joppd_city_municipality_01996,01996,normal,l10n_hr_joppd_city_municipality,KONČANICA,1996,1996,5,HR9610010051719912008
l10n_hr_joppd_city_municipality_02003,02003,normal,l10n_hr_joppd_city_municipality,KONJŠČINA,2003,2003,10,HR0510010051720012004
l10n_hr_joppd_city_municipality_02011,02011,normal,l10n_hr_joppd_city_municipality,KOPRIVNICA,2011,2011,0,HR7010010051720112005
l10n_hr_joppd_city_municipality_02020,02020,normal,l10n_hr_joppd_city_municipality,KOPRIVNIČKI BREGI,2020,2020,0,HR7610010051720212001
l10n_hr_joppd_city_municipality_02038,02038,normal,l10n_hr_joppd_city_municipality,KOPRIVNIČKI IVANEC,2038,2038,0,HR0610010051720312007
l10n_hr_joppd_city_municipality_02046,02046,normal,l10n_hr_joppd_city_municipality,KORČULA,2046,2046,6,HR7110010051720412008
l10n_hr_joppd_city_municipality_02054,02054,normal,l10n_hr_joppd_city_municipality,KOŠKA,2054,2054,0,HR3910010051720512009
l10n_hr_joppd_city_municipality_02062,02062,normal,l10n_hr_joppd_city_municipality,KOTORIBA,2062,2062,0,HR8310010051720612000
l10n_hr_joppd_city_municipality_02089,02089,normal,l10n_hr_joppd_city_municipality,KRALJEVEC NA SUTLI,2089,2089,0,HR1910010051720812002
l10n_hr_joppd_city_municipality_02097,02097,normal,l10n_hr_joppd_city_municipality,KRALJEVICA,2097,2097,5,HR0310010051720912006
l10n_hr_joppd_city_municipality_02119,02119,normal,l10n_hr_joppd_city_municipality,KRAPINA,2119,2119,0,HR6310010051721112007
l10n_hr_joppd_city_municipality_02127,02127,normal,l10n_hr_joppd_city_municipality,KRAPINSKE TOPLICE,2127,2127,0,HR3110010051721212008
l10n_hr_joppd_city_municipality_02135,02135,normal,l10n_hr_joppd_city_municipality,KRIŽ,2135,2135,2,HR9610010051721312009
l10n_hr_joppd_city_municipality_02143,02143,normal,l10n_hr_joppd_city_municipality,KRIŽEVCI,2143,2143,10,HR4310010051721412000
l10n_hr_joppd_city_municipality_02151,02151,normal,l10n_hr_joppd_city_municipality,KRK,2151,2151,0,HR5410010051721512003
l10n_hr_joppd_city_municipality_02160,02160,normal,l10n_hr_joppd_city_municipality,KRNJAK,2160,2160,8,HR7610010051721612002
l10n_hr_joppd_city_municipality_02178,02178,normal,l10n_hr_joppd_city_municipality,KRŠAN,2178,2178,0,HR6010010051721712006
l10n_hr_joppd_city_municipality_02194,02194,normal,l10n_hr_joppd_city_municipality,KULA NORINSKA,2194,2194,10,HR7710010051721912005
l10n_hr_joppd_city_municipality_02208,02208,normal,l10n_hr_joppd_city_municipality,KUTINA,2208,2208,12,HR8810010051722012008
l10n_hr_joppd_city_municipality_02216,02216,normal,l10n_hr_joppd_city_municipality,KUTJEVO,2216,2216,10,HR5610010051722112009
l10n_hr_joppd_city_municipality_02224,02224,normal,l10n_hr_joppd_city_municipality,LABIN,2224,2224,6,HR0310010051722212000
l10n_hr_joppd_city_municipality_02232,02232,normal,l10n_hr_joppd_city_municipality,LANIŠĆE,2232,2232,5,HR1410010051722312003
l10n_hr_joppd_city_municipality_02259,02259,normal,l10n_hr_joppd_city_municipality,LASINJA,2259,2259,0,HR2010010051722512006
l10n_hr_joppd_city_municipality_02267,02267,normal,l10n_hr_joppd_city_municipality,LASTOVO,2267,2267,3,HR6910010051722612004
l10n_hr_joppd_city_municipality_02275,02275,normal,l10n_hr_joppd_city_municipality,LEGRAD,2275,2275,0,HR3710010051722712005
l10n_hr_joppd_city_municipality_02283,02283,normal,l10n_hr_joppd_city_municipality,LEKENIK,2283,2283,0,HR4310010051722812001
